word,anger,disgust,fear,joy,sadness,surprise,hope,preproc_word
disparity,1,1,0,0,1,0,0,dispar
irreconcilable,1,0,1,0,1,0,0,irreconcil
recalcitrant,1,1,0,0,0,0,0,recalcitr
quarrel,1,0,0,0,0,0,0,quarrel
despair,1,1,1,0,1,0,0,despair
crucifixion,1,1,1,0,1,0,0,crucifixion
oppressor,1,0,1,0,1,0,0,oppressor
mug,1,0,1,0,1,0,0,mug
mad,1,1,1,0,1,0,0,mad
rave,1,1,0,1,0,1,0,rave
wrongly,1,0,1,0,1,0,0,wrongli
phony,1,1,0,0,0,0,0,phoni
repay,1,0,0,1,0,0,1,repay
surcharge,1,0,0,0,0,0,0,surcharg
mangle,1,1,1,0,1,0,0,mangl
disdain,1,1,0,0,0,0,0,disdain
touchy,1,0,0,0,1,0,0,touchi
strangle,1,1,1,0,1,1,0,strangl
claw,1,0,1,0,0,0,0,claw
eschew,1,0,0,0,1,0,0,eschew
scoundrel,1,1,1,0,0,0,0,scoundrel
antipathy,1,1,0,0,0,0,0,antipathi
unkind,1,1,1,0,1,0,0,unkind
ransom,1,0,1,0,0,0,0,ransom
coercion,1,1,1,0,1,0,0,coercion
violent,1,1,1,0,0,1,0,violent
executioner,1,0,1,0,1,0,0,execution
dumps,1,0,0,0,1,0,0,dump
nether,1,0,1,0,1,0,0,nether
foe,1,0,1,0,0,0,0,foe
shot,1,0,1,0,1,1,0,shot
rocket,1,0,0,0,0,0,0,rocket
words,1,0,0,0,0,0,0,word
riot,1,0,1,0,0,0,0,riot
beast,1,0,1,0,0,0,0,beast
celebrity,1,1,0,1,0,1,1,celebr
sue,1,0,0,0,1,0,0,sue
